caseID,prefix,ElapsedAct,StartTime,LastTime,NextTime,predictedEndTime,Duration
7724,2,a1-a1-a1,2012-02-04 02:13:00,2012-02-06 20:23:00,2012-02-07 20:02:00,2012-02-23 23:10:00,17D 2H 47M
7724,3,a1-a1-a1-a1,2012-02-04 02:13:00,2012-02-07 20:02:00,2012-02-08 23:54:00,2012-02-22 18:07:00,14D 22H 5M
7724,4,a1-a1-a1-a1-a1,2012-02-04 02:13:00,2012-02-08 23:54:00,2012-02-09 00:24:00,2012-02-23 05:16:00,14D 5H 22M
7724,5,a1-a1-a1-a1-a1-a1,2012-02-04 02:13:00,2012-02-09 00:24:00,2012-02-09 00:36:00,2012-02-21 03:35:00,12D 3H 11M
7724,6,a1-a1-a1-a1-a1-a1-a1,2012-02-04 02:13:00,2012-02-09 00:36:00,2012-02-09 18:29:00,2012-02-21 21:27:00,12D 20H 51M
7724,7,a1-a1-a1-a1-a1-a1-a1-a1,2012-02-04 02:13:00,2012-02-09 18:29:00,2012-02-10 03:25:00,2012-02-22 18:45:00,13D 0H 16M
7724,8,a1-a1-a1-a1-a1-a1-a1-a1-a1,2012-02-04 02:13:00,2012-02-10 03:25:00,2012-02-10 19:56:00,2012-02-21 05:57:00,11D 2H 32M
7724,9,a1-a1-a1-a1-a1-a1-a1-a1-a1-a1,2012-02-04 02:13:00,2012-02-10 19:56:00,2012-02-10 20:15:00,2012-02-21 08:34:00,10D 12H 38M
7724,10,a1-a1-a1-a1-a1-a1-a1-a1-a1-a1-a1,2012-02-04 02:13:00,2012-02-10 20:15:00,2012-02-10 20:24:00,2012-02-18 23:36:00,8D 3H 21M
7724,11,a1-a1-a1-a1-a1-a1-a1-a1-a1-a1-a1-a1,2012-02-04 02:13:00,2012-02-10 20:24:00,2012-02-10 20:56:00,2012-02-17 02:57:00,6D 6H 33M
7724,12,a1-a1-a1-a1-a1-a1-a1-a1-a1-a1-a1-a1-a1,2012-02-04 02:13:00,2012-02-10 20:56:00,2012-02-11 19:52:00,2012-02-17 02:32:00,6D 5H 36M
7724,13,a1-a1-a1-a1-a1-a1-a1-a1-a1-a1-a1-a1-a1-a1,2012-02-04 02:13:00,2012-02-11 19:52:00,2012-02-15 02:55:00,2012-02-18 05:35:00,6D 9H 43M
7724,14,a1-a1-a1-a1-a1-a1-a1-a1-a1-a1-a1-a1-a1-a1-a1,2012-02-04 02:13:00,2012-02-15 02:55:00,2012-02-16 00:00:00,2012-02-23 02:33:00,7D 23H 38M
7724,15,a1-a1-a1-a1-a1-a1-a1-a1-a1-a1-a1-a1-a1-a1-a1-a1,2012-02-04 02:13:00,2012-02-16 00:00:00,2012-02-17 04:32:00,2012-02-26 04:37:00,10D 4H 37M
7726,2,a1-a1-a2,2012-02-03 21:52:00,2012-02-09 20:48:00,2012-02-11 18:36:00,2012-02-23 23:33:00,14D 2H 45M
7726,3,a1-a1-a2-a3,2012-02-03 21:52:00,2012-02-11 18:36:00,2012-02-11 18:46:00,2012-02-26 00:35:00,14D 5H 59M
7726,4,a1-a1-a2-a3-a5,2012-02-03 21:52:00,2012-02-11 18:46:00,2012-02-11 19:44:00,2012-02-14 05:32:00,2D 10H 46M
7726,5,a1-a1-a2-a3-a5-a5,2012-02-03 21:52:00,2012-02-11 19:44:00,2012-02-11 19:53:00,2012-02-14 04:10:00,2D 8H 26M
7726,6,a1-a1-a2-a3-a5-a5-a5,2012-02-03 21:52:00,2012-02-11 19:53:00,2012-02-11 19:55:00,2012-02-14 14:42:00,2D 18H 49M
7726,7,a1-a1-a2-a3-a5-a5-a5-a5,2012-02-03 21:52:00,2012-02-11 19:55:00,2012-02-13 18:44:00,2012-02-14 18:41:00,2D 22H 46M
7726,8,a1-a1-a2-a3-a5-a5-a5-a5-a5,2012-02-03 21:52:00,2012-02-13 18:44:00,2012-02-13 20:51:00,2012-02-16 19:15:00,3D 0H 31M
7726,9,a1-a1-a2-a3-a5-a5-a5-a5-a5-a3,2012-02-03 21:52:00,2012-02-13 20:51:00,2012-02-14 05:06:00,2012-02-15 10:58:00,1D 14H 7M
7726,10,a1-a1-a2-a3-a5-a5-a5-a5-a5-a3-a5,2012-02-03 21:52:00,2012-02-14 05:06:00,2012-02-16 19:04:00,2012-02-14 00:29:00,0D -4H -37M
7726,11,a1-a1-a2-a3-a5-a5-a5-a5-a5-a3-a5-a5,2012-02-03 21:52:00,2012-02-16 19:04:00,2012-02-16 20:03:00,2012-02-17 17:21:00,0D 22H 17M
7727,2,a4-a1-a1,2012-02-03 20:30:00,2012-02-06 21:31:00,2012-02-06 22:23:00,2012-02-16 06:30:00,9D 8H 59M
7727,3,a4-a1-a1-a1,2012-02-03 20:30:00,2012-02-06 22:23:00,2012-02-07 01:14:00,2012-02-19 18:19:00,12D 19H 56M
7727,4,a4-a1-a1-a1-a1,2012-02-03 20:30:00,2012-02-07 01:14:00,2012-02-07 02:11:00,2012-02-18 11:35:00,11D 10H 21M
7727,5,a4-a1-a1-a1-a1-a1,2012-02-03 20:30:00,2012-02-07 02:11:00,2012-02-14 22:44:00,2012-02-19 06:05:00,12D 3H 54M
7727,6,a4-a1-a1-a1-a1-a1-a1,2012-02-03 20:30:00,2012-02-14 22:44:00,2012-03-03 01:38:00,2012-02-26 23:43:00,12D 0H 59M
7727,7,a4-a1-a1-a1-a1-a1-a1-a1,2012-02-03 20:30:00,2012-03-03 01:38:00,2012-03-04 18:15:00,2012-03-19 12:22:00,16D 10H 44M
7728,2,a4-a1-a1,2012-02-03 20:36:00,2012-02-04 01:01:00,2012-02-09 21:19:00,2012-02-11 22:38:00,7D 21H 37M
7728,3,a4-a1-a1-a2,2012-02-03 20:36:00,2012-02-09 21:19:00,2012-02-09 21:22:00,2012-02-16 17:08:00,6D 19H 49M
7728,4,a4-a1-a1-a2-a2,2012-02-03 20:36:00,2012-02-09 21:22:00,2012-02-09 22:08:00,2012-02-19 07:03:00,9D 9H 41M
7728,5,a4-a1-a1-a2-a2-a2,2012-02-03 20:36:00,2012-02-09 22:08:00,2012-02-09 22:11:00,2012-02-15 19:43:00,5D 21H 35M
7728,6,a4-a1-a1-a2-a2-a2-a2,2012-02-03 20:36:00,2012-02-09 22:11:00,2012-02-09 22:31:00,2012-02-15 20:04:00,5D 21H 53M
7728,7,a4-a1-a1-a2-a2-a2-a2-a2,2012-02-03 20:36:00,2012-02-09 22:31:00,2012-02-09 22:35:00,2012-02-15 17:00:00,5D 18H 29M
7728,8,a4-a1-a1-a2-a2-a2-a2-a2-a2,2012-02-03 20:36:00,2012-02-09 22:35:00,2012-02-10 01:45:00,2012-02-15 13:46:00,5D 15H 11M
7728,9,a4-a1-a1-a2-a2-a2-a2-a2-a2-a2,2012-02-03 20:36:00,2012-02-10 01:45:00,2012-02-10 21:04:00,2012-02-15 15:57:00,5D 14H 12M
7728,10,a4-a1-a1-a2-a2-a2-a2-a2-a2-a2-a2,2012-02-03 20:36:00,2012-02-10 21:04:00,2012-02-10 21:17:00,2012-02-20 08:59:00,9D 11H 55M
7728,11,a4-a1-a1-a2-a2-a2-a2-a2-a2-a2-a2-a2,2012-02-03 20:36:00,2012-02-10 21:17:00,2012-02-17 19:44:00,2012-02-18 21:52:00,8D 0H 35M
7728,12,a4-a1-a1-a2-a2-a2-a2-a2-a2-a2-a2-a2-a2,2012-02-03 20:36:00,2012-02-17 19:44:00,2012-02-18 01:10:00,2012-02-24 07:47:00,6D 12H 3M
7728,13,a4-a1-a1-a2-a2-a2-a2-a2-a2-a2-a2-a2-a2-a3,2012-02-03 20:36:00,2012-02-18 01:10:00,2012-02-18 01:25:00,2012-02-29 15:05:00,11D 13H 55M
7728,14,a4-a1-a1-a2-a2-a2-a2-a2-a2-a2-a2-a2-a2-a3-a5,2012-02-03 20:36:00,2012-02-18 01:25:00,2012-02-18 20:00:00,2012-02-19 03:26:00,1D 2H 1M
7728,15,a4-a1-a1-a2-a2-a2-a2-a2-a2-a2-a2-a2-a2-a3-a5-a5,2012-02-03 20:36:00,2012-02-18 20:00:00,2012-02-18 20:46:00,2012-02-21 01:06:00,2D 5H 6M
7728,16,a4-a1-a1-a2-a2-a2-a2-a2-a2-a2-a2-a2-a2-a3-a5-a5-a5,2012-02-03 20:36:00,2012-02-18 20:46:00,2012-02-23 23:05:00,2012-02-21 22:02:00,3D 1H 16M
7728,17,a4-a1-a1-a2-a2-a2-a2-a2-a2-a2-a2-a2-a2-a3-a5-a5-a5-a5,2012-02-03 20:36:00,2012-02-23 23:05:00,2012-02-23 23:07:00,2012-02-26 18:25:00,2D 19H 20M
7728,18,a4-a1-a1-a2-a2-a2-a2-a2-a2-a2-a2-a2-a2-a3-a5-a5-a5-a5-a5,2012-02-03 20:36:00,2012-02-23 23:07:00,2012-02-25 19:25:00,2012-03-04 22:49:00,9D 23H 42M
7728,19,a4-a1-a1-a2-a2-a2-a2-a2-a2-a2-a2-a2-a2-a3-a5-a5-a5-a5-a5-a5,2012-02-03 20:36:00,2012-02-25 19:25:00,2012-02-28 03:01:00,2012-02-28 14:16:00,2D 18H 51M
7728,20,a4-a1-a1-a2-a2-a2-a2-a2-a2-a2-a2-a2-a2-a3-a5-a5-a5-a5-a5-a5-a5,2012-02-03 20:36:00,2012-02-28 03:01:00,2012-02-28 03:05:00,2012-03-06 18:40:00,7D 15H 39M
7729,2,a4-a4-a1,2012-02-03 19:33:00,2012-02-04 03:40:00,2012-02-04 19:32:00,2012-02-04 04:52:00,0D 1H 12M
7729,3,a4-a4-a1-a1,2012-02-03 19:33:00,2012-02-04 19:32:00,2012-02-04 19:33:00,2012-02-11 01:35:00,6D 6H 3M
7729,4,a4-a4-a1-a1-a2,2012-02-03 19:33:00,2012-02-04 19:33:00,2012-02-04 19:35:00,2012-02-14 18:29:00,9D 22H 56M
7729,5,a4-a4-a1-a1-a2-a2,2012-02-03 19:33:00,2012-02-04 19:35:00,2012-02-04 19:36:00,2012-02-16 10:14:00,11D 14H 39M
7729,6,a4-a4-a1-a1-a2-a2-a2,2012-02-03 19:33:00,2012-02-04 19:36:00,2012-02-12 01:24:00,2012-02-15 17:37:00,10D 22H 1M
7729,7,a4-a4-a1-a1-a2-a2-a2-a2,2012-02-03 19:33:00,2012-02-12 01:24:00,2012-02-15 22:53:00,2012-02-22 12:36:00,10D 11H 12M
7729,8,a4-a4-a1-a1-a2-a2-a2-a2-a2,2012-02-03 19:33:00,2012-02-15 22:53:00,2012-02-16 22:04:00,2012-02-29 09:46:00,13D 10H 53M
7729,9,a4-a4-a1-a1-a2-a2-a2-a2-a2-a3,2012-02-03 19:33:00,2012-02-16 22:04:00,2012-02-16 22:08:00,2012-02-23 07:40:00,6D 9H 36M
7729,10,a4-a4-a1-a1-a2-a2-a2-a2-a2-a3-a5,2012-02-03 19:33:00,2012-02-16 22:08:00,2012-02-17 15:15:00,2012-02-17 03:17:00,0D 5H 9M
7729,11,a4-a4-a1-a1-a2-a2-a2-a2-a2-a3-a5-a5,2012-02-03 19:33:00,2012-02-17 15:15:00,2012-02-17 18:09:00,2012-02-18 04:25:00,0D 13H 10M
7729,12,a4-a4-a1-a1-a2-a2-a2-a2-a2-a3-a5-a5-a5,2012-02-03 19:33:00,2012-02-17 18:09:00,2012-02-21 22:46:00,2012-02-19 05:14:00,1D 11H 5M
7729,13,a4-a4-a1-a1-a2-a2-a2-a2-a2-a3-a5-a5-a5-a5,2012-02-03 19:33:00,2012-02-21 22:46:00,2012-02-22 00:42:00,2012-02-22 22:45:00,0D 23H 59M
7729,14,a4-a4-a1-a1-a2-a2-a2-a2-a2-a3-a5-a5-a5-a5-a3,2012-02-03 19:33:00,2012-02-22 00:42:00,2012-02-22 01:24:00,2012-02-26 22:26:00,4D 21H 44M
7730,2,a4-a4-a1,2012-02-06 15:15:00,2012-02-06 21:09:00,2012-02-07 21:13:00,2012-02-07 11:02:00,0D 13H 53M
7730,3,a4-a4-a1-a1,2012-02-06 15:15:00,2012-02-07 21:13:00,2012-02-08 05:21:00,2012-02-14 18:32:00,6D 21H 19M
7730,4,a4-a4-a1-a1-a1,2012-02-06 15:15:00,2012-02-08 05:21:00,2012-02-08 19:04:00,2012-02-17 13:39:00,9D 8H 18M
7730,5,a4-a4-a1-a1-a1-a1,2012-02-06 15:15:00,2012-02-08 19:04:00,2012-02-09 01:43:00,2012-02-19 12:30:00,10D 17H 26M
7730,6,a4-a4-a1-a1-a1-a1-a1,2012-02-06 15:15:00,2012-02-09 01:43:00,2012-02-09 22:30:00,2012-02-20 04:15:00,11D 2H 32M
7730,7,a4-a4-a1-a1-a1-a1-a1-a1,2012-02-06 15:15:00,2012-02-09 22:30:00,2012-02-11 22:06:00,2012-02-21 13:34:00,11D 15H 4M
7730,8,a4-a4-a1-a1-a1-a1-a1-a1-a1,2012-02-06 15:15:00,2012-02-11 22:06:00,2012-02-11 23:46:00,2012-02-24 01:21:00,12D 3H 15M
7730,9,a4-a4-a1-a1-a1-a1-a1-a1-a1-a1,2012-02-06 15:15:00,2012-02-11 23:46:00,2012-03-03 21:44:00,2012-02-24 21:25:00,12D 21H 39M
7730,10,a4-a4-a1-a1-a1-a1-a1-a1-a1-a1-a1,2012-02-06 15:15:00,2012-03-03 21:44:00,2012-03-04 01:40:00,2012-03-15 05:20:00,11D 7H 36M
7730,11,a4-a4-a1-a1-a1-a1-a1-a1-a1-a1-a1-a1,2012-02-06 15:15:00,2012-03-04 01:40:00,2012-03-04 18:15:00,2012-03-18 10:07:00,14D 8H 27M
7731,2,a1-a1-a2,2012-02-03 20:28:00,2012-02-03 21:48:00,2012-02-05 01:10:00,2012-02-18 11:45:00,14D 13H 57M
7731,3,a1-a1-a2-a2,2012-02-03 20:28:00,2012-02-05 01:10:00,2012-02-13 18:49:00,2012-02-17 12:22:00,12D 11H 12M
7731,4,a1-a1-a2-a2-a2,2012-02-03 20:28:00,2012-02-13 18:49:00,2012-02-14 20:32:00,2012-02-27 19:16:00,14D 0H 27M
7731,5,a1-a1-a2-a2-a2-a2,2012-02-03 20:28:00,2012-02-14 20:32:00,2012-02-15 21:21:00,2012-02-29 01:15:00,14D 4H 43M
7731,6,a1-a1-a2-a2-a2-a2-a3,2012-02-03 20:28:00,2012-02-15 21:21:00,2012-02-15 21:26:00,2012-02-23 12:37:00,7D 15H 16M
7731,7,a1-a1-a2-a2-a2-a2-a3-a5,2012-02-03 20:28:00,2012-02-15 21:26:00,2012-02-15 21:36:00,2012-02-17 02:04:00,1D 4H 38M
7731,8,a1-a1-a2-a2-a2-a2-a3-a5-a5,2012-02-03 20:28:00,2012-02-15 21:36:00,2012-02-15 22:28:00,2012-02-17 11:07:00,1D 13H 31M
